"DATE","JULIAN","tempkt","days","SITE","kT","kelvin","celcius","site"
2011-08-02,578,38.2493118575297,45,"hver",38.2493118575297,303.40328654984,30.25328654984,"hver"
2011-09-16,623,38.8918139130956,37,"hver",38.8918139130956,298.390991784949,25.240991784949,"hver"
2011-10-23,660,38.9751719525914,21,"hver",38.9751719525914,297.752808889729,24.6028088897286,"hver"
2011-11-13,681,38.9255342604126,29,"hver",38.9255342604126,298.132502131038,24.9825021310384,"hver"
2011-12-12,710,39.3289327383671,60,"hver",39.3289327383671,295.074544815275,21.9245448152753,"hver"
2012-02-10,770,39.2502632853114,46,"hver",39.2502632853114,295.665963855768,22.5159638557685,"hver"
2012-03-27,816,38.4917383006476,55,"hver",38.4917383006476,301.492409493208,28.3424094932085,"hver"
2012-05-21,871,38.085196933948,29,"hver",38.085196933948,304.710697596523,31.5606975965232,"hver"
2012-06-19,900,37.9534931405596,37,"hver",37.9534931405596,305.768085242263,32.6180852422629,"hver"
2012-07-26,937,38.0571510040783,6,"hver",38.0571510040783,304.935251842699,31.7852518426994,"hver"
2012-08-01,943,37.8609414814348,NA,"hver",37.8609414814348,306.515540072737,33.3655400727366,"hver"
2011-07-01,546,41.0441867847656,32,"st14",41.0441867847656,282.7432539156,9.59325391559952,"st14"
2011-08-02,578,41.2983574639028,45,"st14",41.2983574639028,281.00311098299,7.85311098299002,"st14"
2011-09-16,623,41.9484899893221,56,"st14",41.9484899893221,276.648025442591,3.49802544259143,"st14"
2011-11-11,679,42.2016623398487,137,"st14",42.2016623398487,274.988383926439,1.83838392643889,"st14"
2012-03-27,816,42.2398813399955,27,"st14",42.2398813399955,274.739572122233,1.58957212223305,"st14"
2012-04-23,843,42.1945917798574,28,"st14",42.1945917798574,275.034463809748,1.88446380974761,"st14"
2012-05-21,871,41.5844615902843,29,"st14",41.5844615902843,279.069789100158,5.91978910015808,"st14"
2012-06-19,900,41.0274828342238,10,"st14",41.0274828342238,282.858370149966,9.70837014996641,"st14"
2012-06-29,910,40.8869809091889,1,"st14",40.8869809091889,283.83037015179,10.6803701517904,"st14"
2012-06-30,911,40.9134451337916,NA,"st14",40.9134451337916,283.646778898592,10.496778898592,"st14"
2011-08-02,578,39.7920269821338,45,"st6",39.7920269821338,291.640507055717,18.4905070557169,"st6"
2011-09-16,623,39.592156547337,37,"st6",39.592156547337,293.112776313894,19.9627763138943,"st6"
2011-10-23,660,39.61233495346,21,"st6",39.61233495346,292.963465533622,19.8134655336218,"st6"
2011-11-13,681,39.6624446808614,49,"st6",39.6624446808614,292.593334052454,19.4433340524541,"st6"
2012-01-01,730,39.8342150883199,40,"st6",39.8342150883199,291.331632871738,18.1816328717381,"st6"
2012-02-10,770,40.3918668247933,46,"st6",40.3918668247933,287.30949664156,14.1594966415595,"st6"
2012-03-27,816,40.4122778277492,27,"st6",40.4122778277492,287.164385420405,14.0143854204053,"st6"
2012-04-23,843,40.1567625281382,57,"st6",40.1567625281382,288.991596812929,15.8415968129291,"st6"
2012-06-19,900,39.8234837693704,43,"st6",39.8234837693704,291.410138627049,18.2601386270492,"st6"
2012-08-01,943,39.742700709588,NA,"st6",39.742700709588,292.002473879299,18.8524738792987,"st6"
2011-07-01,546,40.424224969676,32,"st9",40.424224969676,287.079515675307,13.9295156753073,"st9"
2011-08-02,578,40.4451990799614,45,"st9",40.4451990799614,286.930641703627,13.7806417036267,"st9"
2011-09-16,623,40.8109263766474,37,"st9",40.8109263766474,284.359311492737,11.2093114927374,"st9"
2011-10-23,660,40.9865924998806,21,"st9",40.9865924998806,283.140564219337,9.9905642193375,"st9"
2011-11-13,681,41.0375724497903,89,"st9",41.0375724497903,282.788825777719,9.63882577771915,"st9"
2012-02-10,770,41.2189808187393,46,"st9",41.2189808187393,281.544247221375,8.39424722137545,"st9"
2012-03-27,816,41.2250977031628,27,"st9",41.2250977031628,281.502472338687,8.35247233868733,"st9"
2012-04-23,843,40.889642716157,57,"st9",40.889642716157,283.811893549726,10.6618935497258,"st9"
2012-06-19,900,40.4577779507897,11,"st9",40.4577779507897,286.841431083037,13.6914310830369,"st9"
2012-06-30,911,40.382158701417,NA,"st9",40.382158701417,287.378567640493,14.2285676404927,"st9"
2010-10-26,298,41.8201031347131,35,"st7",41.8201031347131,277.497329178308,4.34732917830758,"st7"
2010-11-30,333,41.8147160575188,51,"st7",41.8147160575188,277.533079738743,4.38307973874288,"st7"
2011-01-20,384,41.6767569469964,34,"st7",41.6767569469964,278.451774465158,5.30177446515842,"st7"
2011-02-23,418,41.658527312322,24,"st7",41.658527312322,278.573624046755,5.42362404675532,"st7"
2011-03-19,442,41.6448016266584,30,"st7",41.6448016266584,278.665438963587,5.51543896358686,"st7"
2011-04-18,472,41.6420919537599,22,"st7",41.6420919537599,278.683571870755,5.53357187075551,"st7"
2011-05-10,494,41.5754495299616,43,"st7",41.5754495299616,279.130281381109,5.98028138110863,"st7"
2011-06-22,537,41.3110244532269,27,"st7",41.3110244532269,280.916948428224,7.76694842822434,"st7"
2011-07-19,564,41.3494251124613,28,"st7",41.3494251124613,280.65606460746,7.5060646074599,"st7"
2011-08-16,592,41.4485458187588,29,"st7",41.4485458187588,279.984899267373,6.83489926737269,"st7"
2011-09-14,621,41.546733896547,33,"st7",41.546733896547,279.323206361806,6.17320636180642,"st7"
2011-10-17,654,41.4299365483899,9,"st7",41.4299365483899,280.110661340013,6.96066134001268,"st7"
2011-10-26,663,41.0628872985866,NA,"st7",41.0628872985866,282.614489367476,9.46448936747584,"st7"
2010-10-26,298,41.9901884386202,35,"oh2",41.9901884386202,276.373299510384,3.22329951038449,"oh2"
2010-11-30,333,42.1042719644897,49,"oh2",42.1042719644897,275.624452920877,2.47445292087656,"oh2"
2011-01-18,382,42.0470007228451,36,"oh2",42.0470007228451,275.999874577,2.84987457699953,"oh2"
2011-02-23,418,42.0555023596041,22,"oh2",42.0555023596041,275.944080434794,2.79408043479395,"oh2"
2011-03-17,440,41.9215569534753,32,"oh2",41.9215569534753,276.825761474544,3.67576147454383,"oh2"
2011-04-18,472,41.7497755339366,21,"oh2",41.7497755339366,277.964774119829,4.81477411982928,"oh2"
2011-05-09,493,41.401267252905,44,"oh2",41.401267252905,280.304630651854,7.15463065185446,"oh2"
2011-06-22,537,40.9710848825845,27,"oh2",40.9710848825845,283.247733349067,10.0977333490666,"oh2"
2011-07-19,564,40.9252447192775,28,"oh2",40.9252447192775,283.56499772811,10.4149977281101,"oh2"
2011-08-16,592,41.1847858804725,35,"oh2",41.1847858804725,281.778008013068,8.62800801306781,"oh2"
2011-09-20,627,41.5180158973558,35,"oh2",41.5180158973558,279.516414140189,6.36641414018919,"oh2"
2011-10-25,662,41.6932841697949,1,"oh2",41.6932841697949,278.341396148677,5.19139614867743,"oh2"
2011-10-26,663,41.625926125789,NA,"oh2",41.625926125789,278.791801310926,5.6418013109261,"oh2"
